date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-11-02,SPREAD,NOP,DET,NOP,-110.0,1.91,42.29,48.76,9.0,241.0,-4.5,1.0
2023-11-02,SPREAD,UTA,ORL,ORL,-110.0,1.91,21.67,21.38,2.0,228.0,-1.5,1.0
2023-11-02,SPREAD,UTA,ORL,UTA,-110.0,1.91,78.33,78.62,-2.0,228.0,1.5,0.0
2023-11-02,SPREAD,PHX,SAS,SAS,-110.0,1.91,31.87,45.62,11.0,253.0,10.5,1.0
2023-11-02,SPREAD,PHX,SAS,PHX,-110.0,1.91,68.13,54.38,-11.0,253.0,-10.5,0.0
2023-11-03,SPREAD,IND,CLE,CLE,-110.0,1.91,51.29,48.49,-5.0,237.0,-2.5,0.0
2023-11-03,SPREAD,IND,CLE,IND,-110.0,1.91,48.71,51.51,5.0,237.0,2.5,1.0
2023-11-03,SPREAD,MIL,NYK,NYK,-115.0,1.87,,,-5.0,215.0,5.5,1.0
2023-11-03,SPREAD,MIL,NYK,MIL,-105.0,1.95,,,5.0,215.0,-5.5,0.0
2023-11-03,SPREAD,CHI,BKN,BKN,-105.0,1.95,56.61,62.57,2.0,216.0,3.5,1.0
2023-11-03,SPREAD,CHI,BKN,CHI,-115.0,1.87,43.39,37.43,-2.0,216.0,-3.5,0.0
2023-11-03,SPREAD,MIA,WAS,WAS,-110.0,1.91,68.05,65.68,-7.0,235.0,8.5,1.0
2023-11-03,SPREAD,MIA,WAS,MIA,-110.0,1.91,31.95,34.32,7.0,235.0,-8.5,0.0
2023-11-03,SPREAD,OKC,GSW,GSW,-115.0,1.87,86.99,74.36,2.0,280.0,-5.5,0.0
2023-11-03,SPREAD,OKC,GSW,OKC,-105.0,1.95,13.01,25.64,-2.0,280.0,5.5,1.0
2023-11-03,SPREAD,DEN,DAL,DAL,-115.0,1.87,57.36,57.56,-11.0,239.0,6.5,0.0
2023-11-03,SPREAD,DEN,DAL,DEN,-105.0,1.95,42.64,42.44,11.0,239.0,-6.5,1.0
2023-11-03,SPREAD,POR,MEM,MEM,-115.0,1.87,38.48,39.52,-2.0,228.0,-3.5,0.0
2023-11-03,SPREAD,POR,MEM,POR,-105.0,1.95,61.52,60.48,2.0,228.0,3.5,1.0
2023-11-04,SPREAD,PHI,PHX,PHX,-115.0,1.87,41.1,54.18,-12.0,212.0,6.5,0.0
2023-11-04,SPREAD,PHI,PHX,PHI,-105.0,1.95,58.9,45.82,12.0,212.0,-6.5,1.0
2023-11-04,SPREAD,NOP,ATL,ATL,-105.0,1.95,61.5,56.32,18.0,228.0,1.5,1.0
2023-11-04,SPREAD,NOP,ATL,NOP,-115.0,1.87,38.5,43.68,-18.0,228.0,-1.5,0.0
2023-11-04,SPREAD,IND,CHA,CHA,-115.0,1.87,11.44,23.36,1.0,249.0,5.5,1.0
2023-11-04,SPREAD,IND,CHA,IND,-105.0,1.95,88.56,76.64,-1.0,249.0,-5.5,0.0
2023-11-04,SPREAD,ORL,LAL,LAL,-110.0,1.91,69.82,64.91,-19.0,221.0,-3.5,0.0
2023-11-04,SPREAD,ORL,LAL,ORL,-110.0,1.91,30.18,35.09,19.0,221.0,3.5,1.0
2023-11-04,SPREAD,HOU,SAC,SAC,-110.0,1.91,60.37,62.39,-18.0,196.0,-2.5,0.0
2023-11-04,SPREAD,HOU,SAC,HOU,-110.0,1.91,39.63,37.61,18.0,196.0,2.5,1.0
2023-11-04,SPREAD,MIN,UTA,UTA,-105.0,1.95,32.52,34.16,-28.0,218.0,7.5,0.0
2023-11-04,SPREAD,MIN,UTA,MIN,-115.0,1.87,67.48,65.84,28.0,218.0,-7.5,1.0
2023-11-04,SPREAD,BKN,BOS,BOS,-115.0,1.87,66.55,66.12,10.0,238.0,-9.5,1.0
2023-11-04,SPREAD,BKN,BOS,BKN,-105.0,1.95,33.45,33.88,-10.0,238.0,9.5,0.0
2023-11-04,SPREAD,DEN,CHI,CHI,-115.0,1.87,35.41,27.58,-22.0,224.0,9.5,0.0
2023-11-04,SPREAD,DEN,CHI,DEN,-105.0,1.95,64.59,72.42,22.0,224.0,-9.5,1.0
2023-11-05,SPREAD,DET,PHX,PHX,-110.0,1.91,59.8,72.45,14.0,226.0,-3.5,1.0
2023-11-05,SPREAD,DET,PHX,DET,-110.0,1.91,40.2,27.55,-14.0,226.0,3.5,0.0
2023-11-05,SPREAD,SAS,TOR,TOR,-115.0,1.87,23.33,22.1,7.0,239.0,-3.5,1.0
2023-11-05,SPREAD,SAS,TOR,SAS,-105.0,1.95,76.67,77.9,-7.0,239.0,3.5,0.0
2023-11-05,SPREAD,CLE,GSW,GSW,-115.0,1.87,86.87,85.96,-11.0,219.0,1.5,0.0
2023-11-05,SPREAD,CLE,GSW,CLE,-105.0,1.95,13.13,14.04,11.0,219.0,-1.5,1.0
2023-11-05,SPREAD,DAL,CHA,CHA,-110.0,1.91,,,-6.0,242.0,11.5,1.0
2023-11-05,SPREAD,DAL,CHA,DAL,-110.0,1.91,,,6.0,242.0,-11.5,0.0
2023-11-05,SPREAD,POR,MEM,MEM,-110.0,1.91,40.09,26.89,12.0,212.0,-3.5,1.0
2023-11-05,SPREAD,POR,MEM,POR,-110.0,1.91,59.91,73.11,-12.0,212.0,3.5,0.0
2023-11-06,SPREAD,DET,GSW,GSW,-105.0,1.95,70.5,72.83,11.0,229.0,-9.5,1.0
2023-11-06,SPREAD,DET,GSW,DET,-115.0,1.87,29.5,27.17,-11.0,229.0,9.5,0.0
2023-11-06,SPREAD,IND,SAS,SAS,-105.0,1.95,92.04,92.74,-41.0,263.0,8.5,0.0
